Registration.Train.TerminalETD,Anmeldung.Zug.TerminalAbfahrt,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Registration.Train.ShuntingYardETA,Anmeldung.Zug.RangierbahnhofAnkunft,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Registration.Train.Shunter,Anmeldung.Zug.Rangierdienstleister,String,,,
Registration.Train.Length,Anmeldung.Zug.Gesamtlänge,m,,,
Registration.Train.Locomotive,Anmeldung.Zug.Lokomotive,?,,,
Registration.Train.WaggonQuantity,Anmeldung.Zug.Tragwagenanzahl,#,,,
Registration.Train.VolumeToDischarge,Anmeldung.Zug.UmschlagsmengeZuEntladen,LE,,,
Registration.Train.VolumeToLoad,Anmeldung.Zug.UmschlagsmengeZuBeladen,LE,,,
Registration.Train.TrainPaths,Anmeldung.Zug.Trassen,"A, B, C etc. (Beladungsplanung)",,,
Processing.Train,Abfertigung.Zug,PD,,,
Processing.Train.TrainNumber,Abfertigung.Zug.Zugnummer,,,,
Processing.Train.WaggonListType,Abfertigung.Zug.WaggonlisteTyp,"{1-n}  (SGNRS etc.), siehe Daten zu @LE.Auftrag",,siehe Definition Wagenliste,
Processing.Train.WaggonListSize,Abfertigung.Zug.WaggonlisteGröße,,,--> über Ladeliste abwickeln?,
Processing.Train.WaggonListWeightBrutto,Abfertigung.Zug.WaggonlisteGewichtBrutto,kg,,,
Processing.Train.WaggonListWaggonID,Abfertigung.Zug.WaggonlisteWagenkennung,,,,
Processing.Train.WaggonListWaggonRanking,Abfertigung.Zug.WaggonlisteWagenreihung,Sequenz in Fahrtrichtung,,,
Processing.Train.WaggonList.LE.Order($PD),Abfertigung.Zug.Waggonliste.LE.Auftrag($PD),siehe Daten zu @LE.Auftrag; Welche Units auf welchem Waggon…,,wo ist Waggonliste?,
Processing.Train.WaggonList.StoragePosition,Abfertigung.Zug.WaggonlisteLagerposition,...auf welchem Platz,,,
Processing.Train.DangerousGoodsIndication,Abfertigung.Zug.Gefahrgutindikation,,,,
Processing.Train.TerminalETA,Abfertigung.Zug.TerminalAnkunft,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Processing.Train.TerminalETD,Abfertigung.Zug.TerminalAbfahrt,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Processing.Train.ShuntingYardETA,Abfertigung.Zug.RangierbahnhofAnkunft,yyyy-MM-dd'T'HH:mm:ss.SSSX,,,
Processing.Train.Shunter,Abfertigung.Zug.Rangierdienstleister,String,,,
Processing.Train.WaggonTechnicalInspection,Abfertigung.Zug.WagentechnischeUntersuchung,,,,
Processing.Train.TrainPaths,Abfertigung.Zug.Trassen,,,,
Processing.Train.Manifest,Abfertigung.Zug.Manifest,"(inkl. Zolldokumente, Reefer, Gefahrgut)",,,
Order,Auftrag,PD,,,
